Group,Region,Age,Baseline_Score,Outcome_Score
Treatment_B,North,52,52.56309911698306,75.48472127686051
Treatment_B,North,25,67.86702511554851,80.85048919528339
Treatment_B,North,35,47.69590126050358,68.98299075454472
Treatment_B,North,42,50.98804193108178,71.79713407686688
Treatment_B,North,30,72.8583946982492,99.74491406112729
Treatment_B,South,56,57.422257302483786,83.58533962009014
Treatment_B,South,23,72.10088351083914,78.25701656138162
Treatment_B,South,57,65.4413630324322,85.58804179263751
Treatment_B,South,26,57.366907501389306,80.72310556315384
Treatment_B,South,39,58.332783792177345,80.10157614253819
Treatment_B,South,25,61.62518922738379,78.96057074801499
Treatment_B,South,38,67.0890107247388,84.20859789646379
Treatment_B,South,44,62.46229485879442,82.76214516005021
Treatment_B,South,50,54.94909376520007,82.98980244777586
Treatment_B,South,56,59.31899381110557,94.43642873958257
Treatment_B,South,46,62.700925867895506,77.90782339805259
Treatment_B,South,43,52.213119696116074,87.74521926383409
Treatment_B,South,25,63.36100382374128,72.13746476642828
Treatment_B,South,23,66.49206937090726,85.89509451604948
Treatment_B,South,30,56.69932634785036,82.98818196875219
Treatment_B,South,60,60.367267588493704,80.31308105110753
Treatment_B,South,50,58.236158352551804,82.59788357607414
Treatment_B,South,26,70.3004438109521,68.4541292403836
Treatment_B,South,52,61.23558694960713,83.99836958905189
Treatment_B,South,36,57.39659793075097,70.99105693266368
